Disney;BE;CH;DE;ES;FR;IT;NL;UK;US
2019-01-06;53,00;16,00;16,00;26,00;42,00;11,87;36,52;39,26;0,91
2019-01-13;64,00;12,00;14,00;22,00;38,00;15,38;34,38;35,29;0,90
2019-01-20;58,00;16,00;13,00;24,00;33,00;14,67;29,33;31,17;0,92
2019-01-27;40,00;7,00;12,00;23,00;27,00;11,17;29,79;25,14;0,93
2019-02-03;47,00;10,00;9,00;22,00;29,00;7,25;19,03;28,09;0,91
2019-02-10;40,00;12,00;11,00;25,00;30,00;8,18;17,27;26,36;0,91
2019-02-17;38,00;12,00;9,00;28,00;35,00;9,21;23,95;30,39;0,92
2019-02-24;33,00;8,00;9,00;24,00;32,00;10,06;24,69;25,60;0,91
2019-03-03;52,00;14,00;11,00;28,00;29,00;10,29;31,81;28,06;0,94
2019-03-10;40,00;11,00;13,00;23,00;26,00;14,34;30,48;26,90;0,90
2019-03-17;48,00;13,00;11,00;37,00;43,00;15,55;31,11;55,81;1,83
2019-03-24;52,00;10,00;12,00;27,00;39,00;14,86;30,64;37,14;0,93
2019-03-31;49,00;14,00;11,00;23,00;39,00;11,79;39,00;24,49;0,91
2019-04-07;59,00;18,00;14,00;21,00;41,00;11,84;28,24;25,51;0,91
2019-04-14;50,00;17,00;17,00;23,00;45,00;9,90;28,80;24,30;0,90
2019-04-21;35,00;19,00;14,00;23,00;42,00;17,35;32,87;22,83;0,91
2019-04-28;45,00;15,00;15,00;22,00;42,00;10,96;31,04;21,91;0,91
2019-05-05;45,00;9,00;15,00;21,00;32,00;10,06;25,60;24,69;0,91
2019-05-12;38,00;13,00;16,00;24,00;30,00;9,38;21,56;23,44;0,94
2019-05-19;37,00;11,00;16,00;22,00;31,00;11,85;24,62;26,44;0,91
2019-05-26;41,00;22,00;15,00;20,00;37,00;8,33;30,53;29,60;0,93
2019-06-02;46,00;10,00;14,00;23,00;37,00;9,25;23,13;26,83;0,93
2019-06-09;56,00;9,00;14,00;22,00;36,00;8,10;25,20;24,30;0,90
2019-06-16;41,00;15,00;14,00;25,00;40,00;12,09;23,26;25,12;0,93
2019-06-23;37,00;9,00;10,00;20,00;37,00;11,73;20,76;24,37;0,90
2019-06-30;50,00;5,00;15,00;22,00;37,00;11,73;25,27;26,17;0,90
2019-07-07;64,00;17,00;15,00;27,00;41,00;10,25;36,34;27,95;0,93
2019-07-14;63,00;9,00;17,00;26,00;52,00;14,60;37,40;27,37;0,91
2019-07-21;47,00;19,00;15,00;27,00;45,00;12,86;27,55;26,63;0,92
2019-07-28;69,00;17,00;14,00;26,00;51,00;15,76;31,53;29,67;0,93
2019-08-04;54,00;16,00;15,00;28,00;52,00;13,68;40,14;28,28;0,91
2019-08-11;73,00;14,00;13,00;25,00;56,00;16,26;28,90;30,71;0,90
2019-08-18;52,00;9,00;14,00;26,00;47,00;16,59;28,57;27,65;0,92
2019-08-25;51,00;20,00;15,00;32,00;45,00;13,78;23,88;30,31;0,92
2019-09-01;62,00;19,00;15,00;26,00;40,00;14,55;32,73;30,00;0,91
2019-09-08;77,00;16,00;13,00;20,00;45,00;11,02;43,16;30,31;0,92
2019-09-15;64,00;17,00;15,00;20,00;45,00;10,10;44,08;35,82;0,92
2019-09-22;100,00;18,00;16,00;24,00;49,00;12,70;37,20;33,57;0,91
2019-09-29;65,00;15,00;19,00;23,00;48,00;13,58;36,23;29,89;0,91
2019-10-06;59,00;14,00;14,00;21,00;49,00;13,87;40,68;27,74;0,92
2019-10-13;55,00;19,00;13,00;19,00;48,00;14,49;35,32;29,89;0,91
2019-10-20;53,00;13,00;9,00;17,00;55,00;15,33;27,05;27,95;0,90
2019-10-27;53,00;16,00;12,00;19,00;53,00;15,53;24,67;23,76;0,91
2019-11-03;60,00;12,00;11,00;19,00;46,00;11,73;26,16;23,45;0,90
2019-11-10;53,00;12,00;11,00;21,00;48,00;15,69;24,92;23,08;0,92
2019-11-17;67,00;7,00;12,00;29,00;47,00;18,43;29,49;20,27;0,92
2019-11-24;49,00;11,00;10,00;23,00;46,00;12,63;24,35;18,94;1,80
2019-12-01;40,00;13,00;9,00;19,00;45,00;14,69;22,04;18,37;0,92
2019-12-08;45,00;11,00;10,00;16,00;40,00;10,00;19,09;17,27;1,82
2019-12-15;46,00;9,00;10,00;15,00;44,00;10,08;23,83;20,17;1,83
2019-12-22;65,00;20,00;15,00;22,00;72,00;12,76;32,81;33,72;1,82
2019-12-29;78,00;17,00;16,00;22,00;59,00;17,25;32,68;49,02;0,91
2020-01-05;60,00;21,00;19,00;23,00;44,00;12,83;36,67;40,33;1,83
2020-01-12;70,00;14,00;21,00;24,00;44,00;22,45;38,61;36,82;1,80
2020-01-19;64,00;13,00;17,00;22,00;38,00;22,62;33,48;35,29;1,81
2020-01-26;62,00;10,00;13,00;23,00;37,00;21,66;32,49;31,59;0,90
2020-02-02;52,00;19,00;12,00;28,00;38,00;11,12;24,10;29,66;1,85
2020-02-09;43,00;14,00;11,00;22,00;40,00;10,91;19,09;32,73;1,82
2020-02-16;47,00;14,00;11,00;23,00;48,00;11,08;29,54;36,92;1,85
2020-02-23;55,00;12,00;12,00;24,00;52,00;4,56;31,93;28,28;1,82
2020-03-01;44,00;15,00;12,00;24,00;50,00;9,09;30,00;33,64;1,82
2020-03-08;93,00;19,00;21,00;32,00;91,00;7,28;45,50;48,23;1,82
2020-03-15;13,00;4,00;6,00;5,00;10,00;2,73;9,09;8,18;0,91
2020-03-22;15,00;2,00;5,00;7,00;8,00;4,44;6,22;7,11;0,89
2020-03-29;17,00;4,00;4,00;7,00;12,00;4,62;12,92;9,23;0,92
2020-04-05;18,00;5,00;5,00;8,00;10,00;5,45;7,27;10,91;0,91
2020-04-12;16,00;5,00;6,00;6,00;17,00;4,47;8,05;10,74;0,89
2020-04-19;14,00;5,00;4,00;7,00;12,00;3,43;6,86;9,43;0,86
2020-04-26;12,00;3,00;4,00;7,00;14,00;3,73;5,60;11,20;0,93
2020-05-03;10,00;5,00;5,00;6,00;12,00;3,69;9,23;10,15;0,92
2020-05-10;10,00;4,00;5,00;7,00;12,00;2,77;11,08;9,23;0,92
2020-05-17;15,00;3,00;5,00;6,00;14,00;3,73;11,20;10,27;0,93
2020-05-24;12,00;1,00;6,00;8,00;17,00;3,78;11,33;9,44;0,94
2020-05-31;19,00;7,00;6,00;6,00;18,00;3,60;13,50;10,80;0,90
2020-06-07;17,00;4,00;6,00;8,00;19,00;3,62;18,10;10,86;0,90
2020-06-14;18,00;5,00;7,00;8,00;24,00;4,62;12,92;9,23;0,92
2020-06-21;28,00;5,00;8,00;9,00;30,00;4,69;13,13;15,94;0,94
2020-06-28;25,00;8,00;8,00;9,00;27,00;4,50;17,10;13,50;0,90
2020-07-05;32,00;7,00;9,00;8,00;27,00;2,70;25,20;12,60;0,90
2020-07-12;44,00;8,00;10,00;10,00;40,00;5,45;27,27;15,45;0,91
2020-07-19;33,00;10,00;11,00;8,00;31,00;4,56;16,41;17,32;0,91
2020-07-26;31,00;7,00;9,00;6,00;29,00;3,63;16,31;11,78;0,91
2020-08-02;27,00;4,00;8,00;9,00;30,00;4,55;13,64;10,91;0,91
2020-08-09;32,00;7,00;6,00;8,00;37,00;4,51;11,73;9,93;0,90
2020-08-16;30,00;7,00;9,00;9,00;32,00;6,40;16,46;9,14;0,91
2020-08-23;38,00;6,00;7,00;9,00;29,00;2,72;13,59;7,25;0,91
2020-08-30;23,00;1,00;4,00;7,00;30,00;3,64;11,82;9,09;0,91
2020-09-06;33,00;5,00;5,00;9,00;28,00;4,52;12,65;8,13;0,90
2020-09-13;19,00;4,00;5,00;6,00;31,00;3,65;13,68;7,29;0,91
2020-09-20;22,00;3,00;4,00;6,00;32,00;2,74;9,14;7,31;0,91
2020-09-27;25,00;5,00;4,00;6,00;36,00;2,77;5,54;8,31;0,92
2020-10-04;24,00;3,00;4,00;7,00;40,00;1,82;8,18;6,36;0,91
2020-10-11;26,00;2,00;3,00;8,00;41,00;2,73;6,38;5,47;0,91
2020-10-18;13,00;1,00;3,00;4,00;41,00;1,82;8,20;5,47;0,91
2020-10-25;15,00;6,00;3,00;5,00;37,00;1,85;6,48;7,40;0,93
2020-11-01;15,00;6,00;1,00;4,00;40,00;1,82;4,55;4,55;0,91
2020-11-08;10,00;3,00;2,00;5,00;14,00;2,80;6,53;5,60;0,93
2020-11-15;10,00;1,00;3,00;5,00;12,00;2,77;5,54;5,54;0,92
2020-11-22;13,00;6,00;2,00;4,00;15,00;2,81;6,56;5,63;0,94
2020-11-29;17,00;3,00;3,00;5,00;12,00;2,77;8,31;5,54;0,92
2020-12-06;11,00;4,00;2,00;5,00;13,00;1,73;6,93;5,20;0,87
2020-12-13;8,00;5,00;2,00;4,00;12,00;0,92;4,62;4,62;0,92
2020-12-20;14,00;2,00;3,00;4,00;14,00;2,63;5,25;5,25;0,88
2020-12-27;11,00;4,00;3,00;5,00;14,00;3,50;4,38;7,88;0,88
2021-01-03;11,00;1,00;3,00;4,00;10,00;3,00;9,00;8,00;1,00
2021-01-10;13,00;3,00;3,00;4,00;9,00;3,00;7,00;6,00;1,00
2021-01-17;8,00;1,00;2,00;5,00;14,00;1,87;5,60;7,47;0,93
2021-01-24;7,00;0,00;3,00;5,00;7,00;0,88;5,25;5,25;0,88
2021-01-31;12,00;3,00;3,00;5,00;6,00;3,43;3,43;6,86;0,86
2021-02-07;12,00;2,00;2,00;5,00;8,00;2,67;3,56;5,33;0,89
2021-02-14;17,00;4,00;3,00;5,00;12,00;2,77;5,54;6,46;0,92
2021-02-21;11,00;1,00;3,00;6,00;13,00;2,79;8,36;10,21;0,93
2021-02-28;10,00;1,00;3,00;6,00;11,00;2,75;4,58;7,33;0,92
2021-03-07;11,00;5,00;3,00;5,00;13,00;2,79;4,64;8,36;0,93
2021-03-14;13,00;4,00;4,00;5,00;10,00;1,82;5,45;8,18;0,91
2021-03-21;9,00;3,00;2,00;4,00;8,00;3,00;7,00;7,00;1,00
2021-03-28;5,00;3,00;2,00;5,00;8,00;1,78;4,44;4,44;0,89
2021-04-04;15,00;1,00;3,00;5,00;8,00;2,67;8,00;6,22;0,89
2021-04-11;12,00;2,00;2,00;5,00;11,00;3,67;6,42;5,50;0,92
2021-04-18;12,00;4,00;3,00;5,00;11,00;2,75;3,67;4,58;0,92
2021-04-25;14,00;3,00;3,00;7,00;19,00;3,62;9,05;6,33;0,90
2021-05-02;14,00;3,00;6,00;7,00;30,00;4,55;8,18;6,36;0,91
2021-05-09;23,00;4,00;10,00;6,00;24,00;4,62;9,23;7,38;0,92
2021-05-16;44,00;10,00;11,00;11,00;47,00;6,45;20,27;10,14;0,92
2021-05-23;41,00;8,00;9,00;10,00;31,00;4,56;17,32;9,12;0,91
2021-05-30;33,00;2,00;7,00;12,00;33,00;5,50;14,67;8,25;0,92
2021-06-06;25,00;3,00;9,00;16,00;34,00;6,43;13,78;8,27;0,92
2021-06-13;40,00;5,00;11,00;16,00;51,00;7,29;17,30;9,11;0,91
2021-06-20;46,00;5,00;12,00;20,00;56,00;7,23;21,68;10,84;0,90
2021-06-27;36,00;13,00;11,00;15,00;49,00;6,35;19,06;9,98;0,91
2021-07-04;57,00;11,00;12,00;14,00;56,00;4,52;20,77;9,94;0,90
2021-07-11;49,00;7,00;10,00;15,00;60,00;7,27;15,45;9,09;0,91
2021-07-18;45,00;11,00;10,00;18,00;44,00;5,50;18,33;8,25;0,92
2021-07-25;42,00;8,00;11,00;20,00;50,00;6,36;25,45;10,00;0,91
2021-08-01;48,00;8,00;10,00;15,00;49,00;6,35;24,50;10,89;0,91
2021-08-08;47,00;6,00;9,00;19,00;55,00;7,21;24,34;11,72;0,90
2021-08-15;46,00;9,00;9,00;19,00;51,00;10,02;25,50;13,66;0,91
2021-08-22;39,00;6,00;8,00;19,00;53,00;9,14;20,10;11,88;0,91
2021-08-29;39,00;14,00;9,00;16,00;48,00;9,06;20,83;12,68;0,91
2021-09-05;47,00;15,00;11,00;19,00;43,00;11,89;25,62;15,55;0,91
2021-09-12;55,00;14,00;9,00;20,00;49,00;10,17;32,36;13,87;0,92
2021-09-19;63,00;12,00;12,00;17,00;53,00;10,78;26,95;15,27;0,90
2021-09-26;46,00;19,00;11,00;18,00;53,00;10,05;31,07;15,53;0,91
2021-10-03;41,00;15,00;12,00;18,00;54,00;11,90;23,80;17,39;0,92
2021-10-10;40,00;24,00;12,00;23,00;67,00;11,93;37,63;14,68;0,92
2021-10-17;47,00;12,00;12,00;19,00;65,00;10,99;32,96;16,48;0,92
2021-10-24;46,00;21,00;10,00;19,00;74,00;16,44;22,84;15,53;0,91
2021-10-31;53,00;13,00;9,00;22,00;64,00;21,03;21,94;15,54;0,91
2021-11-07;62,00;6,00;10,00;23,00;58,00;15,41;26,28;19,94;0,91
